2012	The Dark Knight Rises	director	Christopher Nolan
2012	The Dark Knight Rises	actor	Christian Bale	Bruce Wayne
2012	The Dark Knight Rises	actor	Gary Oldman	Commissioner Gordon
2012	The Dark Knight Rises	actor	Tom Hardy	Bane
2012	The Dark Knight Rises	actor	Joseph Gordon-Levitt	Blake
2012	The Dark Knight Rises	actor	Anne Hathaway	Selina
2012	The Dark Knight Rises	actor	Marion Cotillard	Miranda
2012	The Dark Knight Rises	actor	Morgan Freeman	Fox
2012	The Dark Knight Rises	actor	Michael Caine	Alfred
2012	The Dark Knight Rises	actor	Matthew Modine	Foley
2012	The Dark Knight Rises	actor	Alon Aboutboul	Dr. Pavel
2012	The Dark Knight Rises	actor	Ben Mendelsohn	Daggett
2012	The Dark Knight Rises	actor	Burn Gorman	Stryver
2012	The Dark Knight Rises	actor	Daniel Sunjata	Captain Jones
2012	The Dark Knight Rises	actor	Aidan Gillen	CIA Op
2012	The Dark Knight Rises	actor	Sam Kennard	Special Ops Sergeant
2012	The Dark Knight Rises	actor	Aliash Tepina	Hooded Man #2
2012	The Dark Knight Rises	actor	Nestor Carbonell	Mayor
2012	The Dark Knight Rises	actor	Brett Cullen	Congressman
2012	The Dark Knight Rises	actor	Nick Julian	Caterer
2012	The Dark Knight Rises	actor	Miranda Nolan	Maid #2
2012	The Dark Knight Rises	actor	Claire Julien	Maid #3
2012	The Dark Knight Rises	actor	Reggie Lee	Ross
2012	The Dark Knight Rises	actor	Joseph Lyle Taylor	DWP Man
2012	The Dark Knight Rises	actor	Chris Ellis	Fr. Reilly
2012	The Dark Knight Rises	actor	Tyler Dean Flores	Mark
2012	The Dark Knight Rises	actor	Juno Temple	Jen
2012	The Dark Knight Rises	actor	Duane Henry	SWAT in Dive Bar
2012	The Dark Knight Rises	actor	James Harvey Ward	SWAT in Alley
2012	The Dark Knight Rises	actor	Gonzalo Menendez	Cop in Manhole
2012	The Dark Knight Rises	actor	Cameron Jack	Sewer Thug #1
2012	The Dark Knight Rises	actor	Lex Daniel	Sewer Thug #2
2012	The Dark Knight Rises	actor	Thomas Lennon	Doctor
2012	The Dark Knight Rises	actor	Trevor White	Yuppie
2012	The Dark Knight Rises	actor	Rob Brown	Allen
2012	The Dark Knight Rises	actor	Fredric Lehne	Exchange Security Chief
2012	The Dark Knight Rises	actor	Courtney Munch	Female Security Guard
2012	The Dark Knight Rises	actor	Chris Hill	Paparazzi #1
2012	The Dark Knight Rises	actor	Travis Guba	Paparazzi #2
2012	The Dark Knight Rises	actor	Jay Benedict	Rich Twit
2012	The Dark Knight Rises	actor	Will Estes	Officer Simon Jansen
2012	The Dark Knight Rises	actor	David Dayan Fisher	Shoe Shine Man at GSE
2012	The Dark Knight Rises	actor	Phillip James Griffith	Sniper at Exchange
2012	The Dark Knight Rises	actor	Glen Powell	Trader #1
2012	The Dark Knight Rises	actor	Ben Cornish	Trader #2
2012	The Dark Knight Rises	actor	Russ Fega	Trader #3
2012	The Dark Knight Rises	actor	Andres Perez-Molina	Valet at Museum
2012	The Dark Knight Rises	actor	Brent Briscoe	Veteran Cop
2012	The Dark Knight Rises	actor	John Nolan	Fredericks
